#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321A374C1
#Date Time: 2018-11-14 19:14:39.734

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (°)
89.000450999848667,0.040552819080290167,24.833395264865704,-55.687057691603499
89.660828677615896,0.039993347025335808,24.83314599971855,-56.07611655524444
90.326106315691078,0.045828744074261948,24.830993800088898,-56.511190068748192
90.996320271467738,0.044207347998015789,24.833386720254552,-56.941324673308387
91.671507172108647,0.041596142842655344,24.834612337188698,-57.357858213648186
92.351703916548075,0.039053828585068277,24.838555928152601,-57.782472297997415
93.036947677507854,0.042105492965332496,24.834200746916633,-58.214337932642536
93.727275903529176,0.043979146925449263,24.835880502772877,-58.632909832426506
94.422726321018871,0.043966147004260922,24.836640775483829,-59.084928146822151
95.123336936311546,0.040911521983196641,24.838305531169219,-59.520583772822093
95.829146037745971,0.039346238888817033,24.840021384598224,-59.956357161497522
96.540192197758529,0.044008080037635802,24.839256215631707,-60.39878338402437
